CVR-nummer/REG-nummer;Startdato;Ophørsdato;Navn;Adresse;Postnr.;By;Virksomhedsform;Hovedbranche;Telefonnr;Email;Reklamebeskyttet
34213585;2012-01-20;;MTS BYG ApS;Vesthegnet 19 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
36037563;2014-06-30;;RADMER BYG ApS;C/O Radmer, C/O Radmer - Egedalsvej 33 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;25380569;radmerbyg@gmail.com;Ja
39028654;2017-10-20;;N/C Totalbyg ApS;Bøgevej 23 - 4030 Tune;4030;Tune;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;31318072;nc.totalbyg@gmail.com;Ja
44059789;2023-05-17;;Karlslunde Tømrer og Snedker ApS;Rørgangen 12 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;22522838;info@ktos.dk;Ja
44437449;2023-11-08;;Fasting Entreprise ApS;Tune Bygade 26 - 4030 Tune;4030;Tune;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
20992441;1998-05-19;;SESAM MOBILE VÆGSYSTEMER A/S;Greve Main 22 - 2670 Greve;2670;Greve;Aktieselskab;433200 Tømrer- og bygningssnedkeraktiviteter;43404912;mail@sesam.as;Ja
25304438;2000-04-05;;L & H TØMRERENTREPRISE ApS;Klinteparksvej 5 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;26121430;info@tilbygning.info;Ja
43215159;2022-04-19;;Byg Midtsjælland ApS;Karlslunde Parkvej 42 - 2690 Karlslunde;2690;Karlslunde;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
43820745;2023-02-01;;Edifice ApS;Vibemosen 21 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Ja
44894599;2024-06-04;;Modukas ApS;Mosede Bygade 16A - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;mathias@modukas.dk;Nej
40088725;2018-12-05;;Nordens Byg & Skadeservice ApS;Hyldebærlunden 37 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;;;Nej
87813517;1977-12-20;;HJEMTEX ApS;Nurdugsvej 4 - 2670 Greve;2670;Greve;Anpartsselskab;433200 Tømrer- og bygningssnedkeraktiviteter;44846868;hjemtex@hotmail.com;Nej
