Vrvirksomhed_cvrNummer,Vrvirksomhed_virksomhedMetadata_nyesteNavn_navn,Direktørnavn,Telefon,Email,Hjemmeside,HjemmesideLiveBool,HjemmesideBemærkning,HjemmesideKilde,HjemmesideSøgeord,HjemmesideKandidater,HjemmesideScore,HjemmesideConfirm,HjemmesidePlaceId,HjemmesideRå,HjemmesideNotat,GPlaceBy,GPlacePostnr,Vrvirksomhed_virksomhedMetadata_nyesteBeliggenhedsadresse_vejnavn,Vrvirksomhed_virksomhedMetadata_nyesteBeliggenhedsadresse_husnummerFra,Vrvirksomhed_virksomhedMetadata_nyesteBeliggenhedsadresse_postnummer,Vrvirksomhed_virksomhedMetadata_nyesteBeliggenhedsadresse_postdistrikt,Branchekode,Branchetekst,AntalAnsatte,Vrvirksomhed_virksomhedMetadata_nyesteVirksomhedsform_virksomhedsformkode,Vrvirksomhed_virksomhedMetadata_nyesteVirksomhedsform_langBeskrivelse,Vrvirksomhed_virksomhedMetadata_sammensatStatus,Vrvirksomhed_virksomhedMetadata_ophørsDato
43345494,SMK VVS A/S,Daniel Skipper; Dennis Angelsø; Henrik Bartels Petersen; Kiki Leiberg Andersen; Kim Bjørnskov Eriksen; Thomas Rodenberg,,das@smk-vvs.dk,smk-vvs.dk,False,placeholder,email,,,,,,,inferred from smk-vvs.dk,,,Baldershøj,27,2635,Ishøj,432200,"Installation af vvs-, varme- og klimaanlæg",,60,Aktieselskab,NORMAL,
44888424,Curatech A/S,Brian Holst; Dorthe Steenberg Brandt; Line Holst,,,,,,none,,,,,,,,,,Erhvervsvej,19,2600,Glostrup,432200,"Installation af vvs-, varme- og klimaanlæg",,60,Aktieselskab,NORMAL,
43312928,WK VVS A/S,Martin Rønnow Wiinblad; Pascal Elkjær Klifoth; Søren Kjærsgaard Hansen,60163611,Pascal@wkvvs.dk,https://Wkvvs.dk,True,,cvr,,,,,,,,,,Valhøjs Alle,165,2610,Rødovre,432200,"Installation af vvs-, varme- og klimaanlæg",,60,Aktieselskab,NORMAL,
40840885,Madsen & Kastberg VVS A/S,Anne Chabert; Arne Becker Rousing; Brian Kastberg Grün; Emilie Sewerin Nicolaisen; Jesper Gemmer; Lars Erik Holmegaard; Rasmus Boiden Madsen; Stig Weberg-Petersen; Thomas Leth Madsen,70707170,adm@m-k.dk,www.m-k.dk,True,,cvr,,,,,,,,,,Vallensbækvej,41,2605,Brøndby,432200,"Installation af vvs-, varme- og klimaanlæg",,60,Aktieselskab,NORMAL,
44069148,julachton Bad A/S,Bent Achton; Brian Morten Ellebæk Keldt; Didde Jul Pedersen,,,,,,none,,,,,,,,,,Baldershøj,1,2635,Ishøj,432200,"Installation af vvs-, varme- og klimaanlæg",,60,Aktieselskab,NORMAL,
41777761,JAH & DE BLÅ MÆND A/S,Andreas Skeel Frandsen; Børge Nordgaard Hansen; John Allan Hansen; John Allan Rybner Hansen; Søren Schmidt,70252590,info@3blaa.dk,3blaa.dk,True,,email,,,,,,,inferred from 3blaa.dk,,,Arnesvej,1,2700,Brønshøj,432200,"Installation af vvs-, varme- og klimaanlæg",,60,Aktieselskab,NORMAL,
43676482,ENCO VVS Service A/S,Jørn Kristoffersen; Pia Røscher Braun; Thomas Lauritzen Jørgensen,,,,,,none,,,,,,,,,,Ringager,4,2605,Brøndby,432200,"Installation af vvs-, varme- og klimaanlæg",,60,Aktieselskab,NORMAL,
43948571,LP Ishøj A/S,Bent Achton; Brian Morten Ellebæk Keldt; Christian Würtz; Didde Jul Pedersen; Jakob Pedersen; Peter Bøgh Sørensen,,,,,,none,,,,,,,,,,Baldershøj,1,2635,Ishøj,432200,"Installation af vvs-, varme- og klimaanlæg",,60,Aktieselskab,NORMAL,
76351112,ENCO VVS & Sprinkler A/S,Carsten Møller; Claus Pretzmann; Dorthe Neve Jensen; Hans Hansen; Ib Berg Nielsen; Jan Willy Petersen; Jens Bundgaard; Jesper Rene Bomholtz; Jesper Sørensen; Jimmi Nicholas Larsen; John Hemming; Jørgen Juhl Jensen; Jørgen Mørch-Pedersen; Jørn Kristoffersen; Karsten Hansen; Keld Holm Jensen; Kurt Frederiksen; Lisa Petersen; Mathias Holmelund Dreholm; Mogens Halbye; Niels Mandrup Christophersen; Niels Nedergaard; Niels Steen Steensen; Palle Kommerou Hansen; Per Jensen; Per Lauersen; Pia Røscher Braun; Poul Kristian Søgaard; Robert Jørgen Petersen; Sidsel Kristoffersen; Steen Rasmussen; Stig Weberg-Petersen; Suzanne Flagstad; Sven Peter Wittsten; Svend Erik Larsen; Tom Lindquist; Uffe Benny Petersen,43433777; 43434777,,,,,none,,,,,,,,,,Ringager,4,2605,Brøndby,432200,"Installation af vvs-, varme- og klimaanlæg",90.0,60,Aktieselskab,NORMAL,
12525737,GREVE VVS A/S,Arne Nielsen; Helle Schmidt Jansen; Jonas Bruun Jansen; Nicolai Eilers Rundqvist; Niels Henrik Pedersen; Per Brandt Jansen; Victor Christoffersen,43901832; 43903432,info@grevevvs.dk,https://www.grevevvs.dk,True,,cvr,,,,,,,,,,Håndværkerbyen,20,2670,Greve,432200,"Installation af vvs-, varme- og klimaanlæg",9.0,60,Aktieselskab,NORMAL,
37724467,P/F Demich,,88778400,,,,,none,,,,,,,,,,Kalkbrænderiløbskaj,6,2100,København Ø,432200,"Installation af vvs-, varme- og klimaanlæg",,210,Anden udenlandsk virksomhed,Aktiv,
37016640,Treza Solutions AB,,49210607,admin@treza.se,treza.se,True,,email,,,,,,,inferred from treza.se,,,Kongevejen,3,3000,Helsingør,432200,"Installation af vvs-, varme- og klimaanlæg",,210,Anden udenlandsk virksomhed,Aktiv,
45214982,Airforce H&V Ltd,,,denmark@ecovis.dk,ecovis.dk,True,,email,,,,,,,inferred from ecovis.dk,,,Vendersgade,28,1363,København K,432200,"Installation af vvs-, varme- og klimaanlæg",,210,Anden udenlandsk virksomhed,Aktiv,
35436979,Apkure Majai LTD,,,info@apkuremajai.lv,https://prana-luft.dk,True,,cvr,,,,,,,,,,Vejlebrovej,113,2635,Ishøj,432200,"Installation af vvs-, varme- og klimaanlæg",,210,Anden udenlandsk virksomhed,Aktiv,
44194074,Kramer GmbH,,,vb@handelskammer.dk,handelskammer.dk,True,,email,,,,,,,inferred from handelskammer.dk,,,Kongens Nytorv,26,1050,København K,432200,"Installation af vvs-, varme- og klimaanlæg",,210,Anden udenlandsk virksomhed,Aktiv,
45732746,AMIBLU PIPES SPAIN S.A.,,,,,,,none,,,,,,,,,,Lyskær,3,2730,Herlev,432200,"Installation af vvs-, varme- og klimaanlæg",,210,Anden udenlandsk virksomhed,Aktiv,
38042548,GfKK  Gesellschaft Für Kältetechnik-Klimatechnik MbH,,,vb@handelskammer.dk,handelskammer.dk,True,,email,,,,,,,inferred from handelskammer.dk,,,Kongens Nytorv,26,1050,København K,432200,"Installation af vvs-, varme- og klimaanlæg",,210,Anden udenlandsk virksomhed,Aktiv,
44736853,SenseGuard GmbH,,,stefan.nickel@suru-water.com,suru-water.com,True,,email,,,,,,,inferred from suru-water.com,,,Lautrupsgade,11,2100,København Ø,432200,"Installation af vvs-, varme- og klimaanlæg",,210,Anden udenlandsk virksomhed,Aktiv,
35906991,Nordisk rørteknik,Niklas Peter Obbekær Hansen,,nhvvs@hotmail.com,,,,none,,,,,,,,,,Hørskætten,6,2630,Taastrup,432200,"Installation af vvs-, varme- og klimaanlæg",0.0,210,Anden udenlandsk virksomhed,Aktiv,
43451545,Toft & Heine VVS ApS,Chico Thobias Heine; Kenn Toft,,,toftinstallation.dk,True,,google_places,Toft & Heine VVS ApS 2650 Hvidovre,toftinstallation.dk,,,ChIJVVVVejlbUkYR_S0RgteX3Xc,https://www.toftinstallation.dk/kontakt/,,Hvidovre,2650,Hjørnagervej,6,2650,Hvidovre,432200,"Installation af vvs-, varme- og klimaanlæg",,80,Anpartsselskab,NORMAL,
45022080,TEK-VVS ApS,Tommy Ekelund,,,,,,none,,,,,,,,,,Møllemosen,42,2760,Måløv,432200,"Installation af vvs-, varme- og klimaanlæg",,80,Anpartsselskab,NORMAL,
45447685,Sjællands Vand & Varme ApS,Henrik Andrew Bendtsen,,mr.bendtsen@gmail.com,,,,none,,,,,,,,,,Hillerødgade,85,2200,København N,432200,"Installation af vvs-, varme- og klimaanlæg",,80,Anpartsselskab,NORMAL,
40574867,Rattech ApS,Klaus Palskov,,klaus@abc-kloak.dk,abc-kloak.dk,True,,email,,,,,,,inferred from abc-kloak.dk,,,Brændmosevej,26,2690,Karlslunde,432200,"Installation af vvs-, varme- og klimaanlæg",,80,Anpartsselskab,NORMAL,
40101047,KB Tagmontage ApS,Kenn Køhler Bosdam,21849169,,,,,none,,,,,,,,,,Grevingevej,10,2700,Brønshøj,432200,"Installation af vvs-, varme- og klimaanlæg",,80,Anpartsselskab,NORMAL,
43751751,KAK VVS Service ApS,Alexander Dittlau Strarup; Kristian Kjær; Tommy Nielsen,20643050,,kakel.dk,False,Ikke samme virksomhed,google_places,KAK VVS Service ApS 2610 Rødovre,kakel.dk,,,ChIJVVUxeWpQUkYRCVJ_WEncz9s,https://kakel.dk/?utm_source=googlebusinessprofile&utm_medium=organic,,Farum,3520,Vievang Alle,7,2610,Rødovre,432200,"Installation af vvs-, varme- og klimaanlæg",,80,Anpartsselskab,NORMAL,
45429105,REN VVS ApS,Habib Hait; Jarah Saad Al-Balaawi,70605756,info@renvvs.dk,renvvs.dk,True,,email,,,,,,,inferred from renvvs.dk,,,Maglebjergvej,6,2800,Kongens Lyngby,432200,"Installation af vvs-, varme- og klimaanlæg",,80,Anpartsselskab,NORMAL,
12504276,JOHN A. HANSEN HOLDING AF 2007 ApS,John Allan Hansen; John Allan Rybner Hansen; Jørn Buch Andersen; Nellie Hansen; Per Emil Hasselbalch Stakemann; Susanne Saul Stakemann; Ulf Svejgaard Poulsen,33133978; 33140178,vvsjah@post10.tele.dk,jahvvs.dk,False,Ikke samme virksomhed,google_places,JOHN A. HANSEN HOLDING AF 2007 ApS 2920 Charlottenlund,jahvvs.dk,,,ChIJT01k_gJTUkYRnZHcLhDQ1q4,http://www.jahvvs.dk/,inferred from post10.tele.dk,København,1307,Egehøjvej,17,2920,Charlottenlund,432200,"Installation af vvs-, varme- og klimaanlæg",,80,Anpartsselskab,NORMAL,
43718479,Sydkystens VVS & Murer ApS,Henrik Knudsen; Max Michael von Scholten; Victor Buus Nielsen,35108000,kontakt@sydvvsogmurer.dk,www.sydvvsogmurer.dk,True,,cvr,,,,,,,,,,Winthersmindevej,60,2635,Ishøj,432200,"Installation af vvs-, varme- og klimaanlæg",,80,Anpartsselskab,NORMAL,
